Cuneiform, Lexical Entity 
a-da-ma,urn:cite:oldpersian:lex.4
xa-sha-ya-tha-i-ya,urn:cite:oldpersian:lex.5
va-za-ra-ka,urn:cite:oldpersian:lex.7
xa-sha-ya-tha-i-ya-na-ma,urn:cite:oldpersian:lex.5
da-ha-ya-u-na-ma,urn:cite:oldpersian:lex.9
pa-u-sra,urn:cite:oldpersian:lex.6
ma-na,urn:cite:oldpersian:lex.4
pi-ta,urn:cite:oldpersian:lex.?
ha-ya,urn:cite:oldpersian:lex.38
tha-ta-i-ya,urn:cite:oldpersian:lex.3
a-va-ha-ya-ra-di-ya,urn:cite:oldpersian:lex.?
ha-ca,urn:cite:oldpersian:lex.23
a-va-ha-ya,urn:cite:oldpersian:lex.?
,urn:cite:oldpersian:lex.
,urn:cite:oldpersian:lex.
